Journal name,Created at,Gender,Demographics,Comment count,Comment quality,Editor experience,Professional status,Verdict,Second verdict,Response time,Time from acceptance to publication,Date of acceptance,Blurb
Mind and Language,2023-03-29 12:10:07 UTC,Male,White,0,,,Tenure track faculty,Rejection,,0.5,,,
Philosophy and Phenomenological Research,2023-03-28 15:40:51 UTC,Male,Middle Eastern/North African,0,,1,Graduate student,Rejection,,2.0,,,
Utilitas,2023-03-28 08:20:28 UTC,Male,White,0,,4,Graduate student,Rejection,,0.25,,,
Journal of Philosophy,2023-03-28 06:28:24 UTC,Male,White,2,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,6.0,,2023-03-27 00:00:00 UTC,""
Philosophical Psychology,2023-03-27 17:53:03 UTC,Male,Hispanic/Latina/Latino,0,,3,Tenure track faculty,Rejection,,0.7,,,
Episteme,2023-03-27 16:52:37 UTC,Male,White,0,,3,Graduate student,Rejection,,0.75,,,
Philosophical Psychology,2023-03-27 16:51:37 UTC,Male,White,2,4,5,Graduate student,Revise and resubmit,Acceptance,2.5,,,
Ethics,2023-03-27 11:49:57 UTC,,,1,3,4,Graduate student,Acceptance,,6.9,6.6,2023-03-13 00:00:00 UTC,
Journal of Ethics and Social Philosophy,2023-03-26 10:16:07 UTC,,,2,5,4,Tenure track faculty,Revise and resubmit,Acceptance,4.5,,,
Journal of Social and Political Philosophy,2023-03-26 10:15:33 UTC,,,2,5,4,Tenure track faculty,Revise and resubmit,Acceptance,4.5,,,
Social Theory and Practice,2023-03-24 00:49:18 UTC,Female,White,3,4,5,Non-tenure track faculty,Rejection,,2.0,,,
Phronesis,2023-03-22 20:27:31 UTC,Prefer not to answer,,1,4,5,Tenured faculty,Rejection,,1.5,,,
Mind,2023-03-22 13:56:10 UTC,Male,White,0,,,Tenured faculty,Rejection,,0.25,,,""
Biology and Philosophy,2023-03-22 13:55:32 UTC,Male,"Hispanic/Latina/Latino, White",2,4,5,Tenured faculty,Revise and resubmit,Rejection,4.0,,,""
Philosophy of Science,2023-03-22 13:52:03 UTC,Male,"Hispanic/Latina/Latino, White",2,5,4,Tenured faculty,Revise and resubmit,Acceptance,8.0,,,""
Analysis,2023-03-20 23:42:23 UTC,Female,White,2,4,2,Tenured faculty,Rejection,,5.0,,,
Utilitas,2023-03-18 11:31:16 UTC,Male,Asian,2,4,3,Tenured faculty,Revise and resubmit,Rejection,1.5,,,""
Philosophia,2023-03-18 11:21:16 UTC,Male,Asian,1,5,5,Tenured faculty,Conditional acceptance,Acceptance,7.0,,,
Journal of Agricultural and Environmental Ethics,2023-03-18 11:18:17 UTC,Male,Asian,2,2,2,Tenured faculty,Rejection,,4.5,,,
The Journal of Ethics,2023-03-18 09:10:00 UTC,Male,Asian,2,5,5,Tenured faculty,Revise and resubmit,Acceptance,5.0,,,""
Nous,2023-03-17 00:22:30 UTC,Male,White,0,,4,Graduate student,Rejection,,2.0,,,
Archiv für Geschichte der Philosophie,2023-03-16 19:23:47 UTC,Male,Asian,1,2,,Graduate student,Rejection,,0.75,,,""
European Journal of Philosophy,2023-03-16 19:22:35 UTC,Male,Asian,1,3,5,Graduate student,Rejection,,2.5,,,""
British Journal for the History of Philosophy,2023-03-16 19:21:29 UTC,Male,Asian,0,,,Graduate student,Rejection,,0.1,,,Desk Rejection
Kant Yearbook,2023-03-16 19:18:16 UTC,Male,Asian,2,4,5,Graduate student,Conditional acceptance,Acceptance,4.0,,,""
Philosophy and Phenomenological Research,2023-03-16 19:10:33 UTC,Male,White,0,,3,Graduate student,Rejection,,3.8,,,I think that more than three months is a bit too long for a desk rejection.
Ethical Theory and Moral Practice,2023-03-16 14:19:28 UTC,Female,White,2,4,2,Tenured faculty,Acceptance,,4.0,,,
Nous,2023-03-16 14:15:35 UTC,Female,White,0,,2,Tenured faculty,Rejection,,2.0,,,
Philosophy and Phenomenological Research,2023-03-16 13:36:24 UTC,,,0,,4,Tenure track faculty,Rejection,,2.0,,,""
Australasian Journal of Philosophy,2023-03-14 15:01:57 UTC,,White,2,3,,Tenure track faculty,Rejection,,8.0,,,
Mind,2023-03-14 15:00:24 UTC,,,0,,,Tenure track faculty,Rejection,,3.0,,,
Nous,2023-03-11 09:47:09 UTC,Male,White,0,,,Tenure track faculty,Rejection,,1.79,,,
European Journal of Philosophy,2023-03-10 11:51:32 UTC,Male,White,0,,,Tenure track faculty,Rejection,,0.5,,,
Phronesis,2023-03-10 10:14:11 UTC,Female,Hispanic/Latina/Latino,1,4,5,Tenured faculty,Revise and resubmit,Acceptance,2.0,,,
Inquiry: An Interdisciplinary Journal of Philosophy,2023-03-10 08:36:00 UTC,Male,White,3,5,3,Non-tenure track faculty,Revise and resubmit,Acceptance,5.0,,,
Philosophical Studies,2023-03-09 20:17:30 UTC,Male,Hispanic/Latina/Latino,2,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,6.0,,,""
Australasian Journal of Philosophy,2023-03-09 20:15:08 UTC,Male,Hispanic/Latina/Latino,1,3,3,Non-tenure track faculty,Rejection,,1.33,,,
Nous,2023-03-07 16:48:05 UTC,Male,Middle Eastern/North African,0,,3,Graduate student,Rejection,,2.0,,,
Sophia,2023-03-07 14:34:49 UTC,,,3,3,2,Tenure track faculty,Rejection,,6.0,,,""
Ergo: An Open Access Journal of Philosophy,2023-03-07 14:15:33 UTC,Male,White,2,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,3.0,,,""
Journal of Political Philosophy,2023-03-06 23:36:55 UTC,Male,White,0,,,Graduate student,Rejection,,0.75,,,""
Ratio,2023-03-06 14:37:53 UTC,,,1,5,5,Tenure track faculty,Revise and resubmit,Acceptance,2.0,,,
Nous,2023-03-06 07:14:08 UTC,,,0,,,Non-tenure track faculty,Rejection,,2.2,,,
Australasian Journal of Philosophy,2023-03-05 22:55:47 UTC,Male,,2,5,4,Graduate student,Rejection,,5.0,,,
Ergo: An Open Access Journal of Philosophy,2023-03-05 22:54:31 UTC,Male,,2,4,5,Graduate student,Rejection,,3.0,,,
Synthese,2023-03-05 22:52:45 UTC,Male,,2,2,4,Graduate student,Rejection,,4.0,,,
Journal of the American Philosophical Association,2023-03-04 06:30:32 UTC,Male,White,1,2,2,Graduate student,Revise and resubmit,Rejection,5.0,,,
Ancient Philosophy,2023-03-02 16:56:54 UTC,,,1,1,1,Graduate student,Rejection,,2.5,,,
Journal of Social Philosophy,2023-03-01 22:11:07 UTC,Female,White,2,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,2.0,,,
Philosophical Studies,2023-03-01 12:57:05 UTC,,,2,4,4,Graduate student,Rejection,,4.5,,,
Philosophical Studies,2023-03-01 01:57:19 UTC,Male,Middle Eastern/North African,2,1,1,Adjunct,Rejection,,14.0,,,
British Journal for the History of Philosophy,2023-02-28 19:09:44 UTC,Male,White,0,,1,Tenured faculty,Rejection,,4.0,,,"If you are rejecting papers after four months with no comments, then you are not doing your job properly. "
Archiv für Geschichte der Philosophie,2023-02-28 04:00:25 UTC,Female,Hispanic/Latina/Latino,3,2,2,Tenured faculty,Rejection,,6.0,,,
Analysis,2023-02-28 02:49:42 UTC,,,1,2,,Other,Rejection,,2.0,,,"My paper argues against a view that assumes A, and I argue that A leads to some undesirable result. The reviewer objects: but A is false. :/

While I appreciate the time and effort the reviewer put into reading and reviewing my paper, they unfortunately did not read it closely enough to follow the dialectic or to read the footnotes which address several of the reviewer's other points."
Journal of Medicine and Philosophy,2023-02-27 15:42:18 UTC,,,2,5,4,Tenured faculty,Revise and resubmit,Acceptance,2.5,,,
Mind and Language,2023-02-26 12:43:49 UTC,Male,White,2,4,1,Tenure track faculty,Revise and resubmit,Acceptance,19.0,,,""
Logic and Logical Philosophy,2023-02-23 21:18:32 UTC,Male,White,1,4,5,Graduate student,Revise and resubmit,Acceptance,1.5,,,""
Logic and Logical Philosophy,2023-02-23 21:14:32 UTC,Male,White,3,5,5,Non-tenure track faculty,Revise and resubmit,Acceptance,5.0,,,""
Ratio,2023-02-23 21:05:14 UTC,Male,White,0,,,Non-tenure track faculty,Rejection,,0.1,,,""
Analysis,2023-02-23 21:01:02 UTC,Male,White,1,3,,Non-tenure track faculty,Rejection,,1.75,,,""
Philosophical Review,2023-02-23 20:59:11 UTC,Male,White,0,,,Non-tenure track faculty,Rejection,,0.2,,,""
Mind,2023-02-23 20:58:05 UTC,Male,White,0,,,Non-tenure track faculty,Rejection,,0.3,,,""
Philosophy and Phenomenological Research,2023-02-23 20:55:36 UTC,Male,White,0,,,Non-tenure track faculty,Rejection,,2.2,,,""
Mind and Language,2023-02-23 20:52:20 UTC,Male,White,2,5,5,Non-tenure track faculty,Revise and resubmit,Acceptance,2.5,,,""
Nous,2023-02-22 17:26:34 UTC,Male,White,0,,2,Graduate student,Rejection,,2.0,,,
Ethical Theory and Moral Practice,2023-02-22 17:25:55 UTC,Male,White,0,,3,Graduate student,Rejection,,0.5,,,
Ratio,2023-02-22 12:45:05 UTC,Male,Asian,0,,5,Non-tenure track faculty,Rejection,,0.2,,,
Journal of the American Philosophical Association,2023-02-21 18:17:25 UTC,Female,White,1,5,5,Graduate student,Acceptance,,4.0,,,""
Clinical Ethics,2023-02-21 18:16:37 UTC,Female,White,1,4,5,Graduate student,Conditional acceptance,Acceptance,4.0,,,""
Moral Philosophy and Politics,2023-02-21 18:15:47 UTC,Female,White,2,5,5,Graduate student,Revise and resubmit,Acceptance,4.0,,,""
Journal of Ethics and Social Philosophy,2023-02-21 18:14:53 UTC,Female,White,0,,,Graduate student,Rejection,,3.0,,,""
Journal of Political Philosophy,2023-02-21 18:14:25 UTC,Female,White,0,,5,Graduate student,Rejection,,0.5,,,""
Journal of Moral Philosophy,2023-02-21 18:13:32 UTC,Female,White,0,,,Graduate student,Rejection,,4.0,,,""
Journal of Philosophy,2023-02-21 02:21:37 UTC,Male,White,0,,5,Tenured faculty,Rejection,,5.0,,,
Analysis,2023-02-21 02:20:26 UTC,Male,White,2,5,5,Tenured faculty,Revise and resubmit,Rejection,1.0,,,
Erkenntnis,2023-02-20 22:44:06 UTC,Male,White,1,1,1,Independent scholar,Rejection,,3.0,,,
Nous,2023-02-20 15:54:54 UTC,,,2,4,5,Graduate student,Rejection,,2.2,,,
Philosophical Quarterly,2023-02-20 14:45:25 UTC,Male,White,0,,4,Graduate student,Rejection,,1.2,,,
Journal of Moral Philosophy,2023-02-20 14:43:59 UTC,Male,White,0,,4,Graduate student,Rejection,,1.0,,,
Nous,2023-02-20 14:42:04 UTC,Male,White,1,5,4,Graduate student,Rejection,,5.5,,,
Philosophy and Phenomenological Research,2023-02-20 14:39:18 UTC,Male,White,1,4,4,Graduate student,Rejection,,1.0,,,
Philosophical Studies,2023-02-20 14:36:25 UTC,Male,White,2,4,4,Graduate student,Rejection,,4.0,,,
Philosophers' Imprint,2023-02-20 14:33:32 UTC,Male,White,0,,4,Graduate student,Rejection,,0.7,,,
Research in Phenomenology,2023-02-19 23:44:23 UTC,Male,White,0,,1,Non-tenure track faculty,Withdraw,,48.0,,,"In 2017 I submitted an article to Research in Phenomenology for review, and after almost a year of waiting for my submission to be reviewed or even sent to a reviewer (the status for the submission in the journal's submission portal indicated that this had not yet occurred), I emailed the journal's editor to ask for an update, but never received a response. Over the next few years I periodically sent the editor other emails, asking, similarly, for an update, but these were never answered either. After four years I finally sent an email informing the editor of my intent to withdraw my submission (the journal's submission portal does not allow one to do this oneself), and yet I never received a response to this email either. A few months after this attempt to withdraw my article, I checked the journal's submission portal once more and discovered that the status for my submission had been changed, and that my article had now been sent to reviewers, which led me to email the editor again reiterating, with growing panic now, that I had withdrawn the submission, for by this point I had submitted the article elsewhere. Like all of my other emails, this email was never answered, although my submission was finally deleted a few days after I sent this email.

All in all, I have never been dealt with in such an inappropriate manner in an academic venue. I will obviously never submit another article to this journal and in fact I no longer will read any of its publications due to the unconscionable practices if the journal. I also recommend that others avoid this journal, and particularly, that they never submit an article for review to it, unless they do not mind waiting years without a response to their submission."
Ergo: An Open Access Journal of Philosophy,2023-02-19 04:45:34 UTC,Male,Asian,1,3,,Graduate student,Rejection,,2.5,,,
Philosophy and Phenomenological Research,2023-02-18 13:30:15 UTC,,White,0,,1,Non-tenure track faculty,Rejection,,2.0,,,""
Synthese,2023-02-18 09:57:50 UTC,Male,White,2,3,5,Tenure track faculty,Rejection,,2.0,,,
Ethical Theory and Moral Practice,2023-02-18 01:07:07 UTC,Female,,2,5,5,Graduate student,Revise and resubmit,Acceptance,7.0,,,
Journal of the American Philosophical Association,2023-02-17 23:09:04 UTC,Female,White,0,,4,Tenure track faculty,Rejection,,0.25,,,
Hypatia,2023-02-17 23:08:07 UTC,Female,White,1,2,3,Tenure track faculty,Rejection,,5.0,,,
Ethics,2023-02-17 21:38:49 UTC,Male,White,2,4,4,Tenured faculty,Rejection,,4.5,,,
Journal of the American Philosophical Association,2023-02-17 20:59:38 UTC,Male,"Asian, White",2,4,3,Tenured faculty,Revise and resubmit,Acceptance,4.0,,,""
Nous,2023-02-17 20:58:47 UTC,Male,"Asian, White",0,,3,Tenured faculty,Rejection,,1.5,,,""
Philosophy and Phenomenological Research,2023-02-17 20:57:58 UTC,Male,"Asian, White",2,2,3,Tenure track faculty,Revise and resubmit,Rejection,1.5,,,""
Ergo: An Open Access Journal of Philosophy,2023-02-17 20:57:18 UTC,Male,"Asian, White",0,,3,Tenured faculty,Rejection,,1.0,,,""
Analysis,2023-02-17 20:56:14 UTC,Male,"Asian, White",1,3,3,Tenured faculty,Revise and resubmit,Withdraw,2.5,,,""
Journal of Philosophy,2023-02-17 20:55:31 UTC,Male,"Asian, White",0,,,Tenured faculty,Rejection,,1.5,,,""
Philosophy and Phenomenological Research,2023-02-17 20:52:59 UTC,Male,"Asian, White",1,3,3,Tenured faculty,Rejection,,2.5,,,""
Nous,2023-02-17 20:51:55 UTC,Male,"Asian, White",0,,3,Tenured faculty,Rejection,,1.0,,,""
Journal of the American Philosophical Association,2023-02-17 20:50:48 UTC,Male,"Asian, White",2,2,3,Tenured faculty,Rejection,,3.0,,,""
Philosophers' Imprint,2023-02-17 20:49:47 UTC,Male,"Asian, White",0,,3,Tenured faculty,Rejection,,1.0,,,""
Ethics,2023-02-17 20:49:14 UTC,Male,"Asian, White",2,3,3,Tenured faculty,Revise and resubmit,Acceptance,4.0,,,""
Feminist Philosophy Quarterly,2023-02-17 20:48:22 UTC,Male,"Asian, White",2,4,4,Tenured faculty,Revise and resubmit,Acceptance,6.0,,,""
Kennedy Institute of Ethics Journal,2023-02-17 20:47:20 UTC,Male,"Asian, White",2,4,5,Tenured faculty,Acceptance,,2.0,2.0,2020-01-06 00:00:00 UTC,""
Canadian Journal of Philosophy,2023-02-17 20:44:45 UTC,Male,"Asian, White",2,1,2,Tenured faculty,Rejection,,3.0,,,""
Ergo: An Open Access Journal of Philosophy,2023-02-17 20:42:49 UTC,Male,"Asian, White",2,4,4,Tenured faculty,Rejection,,2.5,,,""
History of Philosophy Quarterly,2023-02-17 15:06:48 UTC,Male,Asian,2,2,3,Tenured faculty,Rejection,,8.0,,,
Metaphilosophy,2023-02-17 02:45:51 UTC,Male,White,0,,3,Non-tenure track faculty,Acceptance,,28.0,4.0,2015-11-01 00:00:00 UTC,
Dao: A Journal of Comparative Philosophy,2023-02-17 02:43:55 UTC,Male,White,2,5,5,Non-tenure track faculty,Acceptance,,4.0,14.0,2016-12-01 00:00:00 UTC,
Philosophy East and West,2023-02-17 02:42:31 UTC,Male,White,2,5,5,Non-tenure track faculty,Acceptance,,6.0,18.0,2019-07-01 00:00:00 UTC,
Religious Studies,2023-02-17 02:41:00 UTC,Male,White,2,5,5,Non-tenure track faculty,Acceptance,,3.0,18.0,2007-04-01 00:00:00 UTC,
Sophia,2023-02-17 02:39:30 UTC,Male,White,2,5,5,Non-tenure track faculty,Acceptance,,6.0,3.0,2019-08-07 00:00:00 UTC,
Mind and Language,2023-02-17 02:31:43 UTC,,,2,5,5,Tenure track faculty,Revise and resubmit,Acceptance,3.0,,,
Ethics,2023-02-16 23:44:57 UTC,Male,White,2,4,4,Graduate student,Revise and resubmit,Acceptance,4.5,,,""
Analysis,2023-02-16 21:13:41 UTC,,,3,5,5,Non-tenure track faculty,Rejection,,2.5,,,
Synthese,2023-02-16 18:56:48 UTC,,,2,5,5,Graduate student,Revise and resubmit,Acceptance,3.5,,,
Journal of Value Inquiry,2023-02-16 18:02:15 UTC,Male,White,3,5,5,Non-tenure track faculty,Acceptance,,6.0,2.0,2022-04-13 00:00:00 UTC,
Acta Kierkegaardiana,2023-02-16 17:59:33 UTC,Male,White,1,1,1,Non-tenure track faculty,Withdraw,,4.0,,,
Journal of Philosophy,2023-02-16 17:37:30 UTC,Male,Middle Eastern/North African,2,3,5,Graduate student,Rejection,,6.0,,,
Ethics,2023-02-16 14:29:37 UTC,Male,,0,,4,Graduate student,Rejection,,0.3,,,
Mind,2023-02-16 14:26:35 UTC,Male,,0,,4,Graduate student,Rejection,,0.25,,,
Kennedy Institute of Ethics Journal,2023-02-16 14:22:56 UTC,Male,White,0,,2,Non-tenure track faculty,Rejection,,0.5,,,
Journal of Medicine and Philosophy,2023-02-16 14:20:50 UTC,Male,White,2,5,2,Non-tenure track faculty,Revise and resubmit,Acceptance,7.0,,,
Bioethics,2023-02-16 14:19:35 UTC,Male,White,2,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,3.0,,,
Philosophy of Science,2023-02-13 15:10:32 UTC,Male,White,2,2,1,Tenure track faculty,Rejection,,8.0,,,
Mind,2023-02-13 14:42:12 UTC,Male,Hispanic/Latina/Latino,0,,2,Tenured faculty,Rejection,,1.0,,,
Mind,2023-02-13 10:03:09 UTC,Male,White,0,,1,Non-tenure track faculty,Rejection,,7.0,,,
Nous,2023-02-13 02:44:08 UTC,Male,White,0,,4,Tenured faculty,Rejection,,2.0,,,""
Ergo an Open Access Journal of Philosophy,2023-02-11 16:15:32 UTC,Male,Other race/ethnicity,0,,4,Graduate student,Rejection,,0.2,,,
Philosophy and Phenomenological Research,2023-02-10 21:32:33 UTC,Male,White,1,4,5,Tenure track faculty,Rejection,,1.5,,,
Philosophical Studies,2023-02-09 02:07:36 UTC,Male,White,0,,,Graduate student,Rejection,,0.5,,,Desk Reject
Nous,2023-02-09 02:04:36 UTC,Male,White,0,,,Graduate student,Rejection,,1.9,,,""
Erasmus Journal for Philosophy and Economics,2023-02-01 15:46:22 UTC,,,3,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,2.5,,,
Journal of Philosophy,2023-01-31 21:50:25 UTC,Male,White,1,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,4.0,,,Response paper
Logos and Episteme,2023-01-30 10:49:56 UTC,Male,,1,4,4,Graduate student,Rejection,,4.7,,,
Religious Studies,2023-01-30 10:45:51 UTC,Male,,0,,4,Graduate student,Rejection,,0.23,,,
Utilitas,2023-01-30 10:25:58 UTC,,,1,1,,Graduate student,Rejection,,3.0,,,
Journal of Ethics and Social Philosophy,2023-01-30 08:45:15 UTC,Male,White,1,5,5,Graduate student,Conditional acceptance,Acceptance,5.0,,,
Philosophy and Phenomenological Research,2023-01-28 21:18:32 UTC,Female,,1,5,5,Graduate student,Acceptance,,2.0,2.0,2023-01-25 00:00:00 UTC,
Philosophical Studies,2023-01-28 11:08:25 UTC,Female,White,1,1,3,Graduate student,Rejection,,4.0,,,
Ergo: An Open Access Journal of Philosophy,2023-01-28 11:04:39 UTC,Female,White,2,3,4,Graduate student,Rejection,,4.0,,,
Ergo: An Open Access Journal of Philosophy,2023-01-27 20:04:57 UTC,,,2,2,1,Tenure track faculty,Revise and resubmit,Rejection,3.0,,,
Journal of Ethics and Social Philosophy,2023-01-25 20:26:32 UTC,Male,"Pacific Islander, White",2,4,5,Tenured faculty,Revise and resubmit,Acceptance,4.5,,,""
Law and Philosophy,2023-01-23 15:44:22 UTC,,,1,1,3,Graduate student,Rejection,,3.0,,,
Episteme,2023-01-23 14:00:17 UTC,Male,White,1,3,3,Graduate student,Conditional acceptance,Rejection,2.66,,,
Journal of Ethics and Social Philosophy,2023-01-16 05:39:31 UTC,Male,White,2,4,5,Graduate student,Rejection,,5.25,,,
Nous,2023-01-14 05:34:37 UTC,,,0,,1,Tenured faculty,Rejection,,1.9,,,
Canadian Journal of Philosophy,2023-01-13 18:50:46 UTC,Male,Middle Eastern/North African,0,,,Graduate student,Rejection,,1.0,,,""
Philosophical Quarterly,2023-01-13 18:49:13 UTC,Male,Middle Eastern/North African,2,3,,Graduate student,Rejection,,4.0,,,""
Philosophy and Phenomenological Research,2023-01-13 13:21:01 UTC,Male,Hispanic/Latina/Latino,0,,2,Graduate student,Rejection,,2.0,,,
Philosophy and Phenomenological Research,2023-01-13 13:12:18 UTC,Male,White,0,,5,Tenured faculty,Rejection,,2.0,,,
Erkenntnis,2023-01-12 15:39:40 UTC,Male,Hispanic/Latina/Latino,2,4,3,Other,Revise and resubmit,Acceptance,3.0,,,
Journal of Philosophical Logic,2023-01-12 15:34:28 UTC,Male,Hispanic/Latina/Latino,2,3,5,Graduate student,Conditional acceptance,Acceptance,5.0,,,
Australasian Journal of Philosophy,2023-01-12 15:27:48 UTC,Male,Hispanic/Latina/Latino,2,1,3,Graduate student,Rejection,,2.3,,,
Journal of Political Philosophy,2023-01-12 04:48:06 UTC,Male,White,0,,5,Graduate student,Rejection,,0.0,,,
Nous,2023-01-11 17:09:44 UTC,Male,Hispanic/Latina/Latino,0,,2,Tenured faculty,Rejection,,2.0,,,
Philosophy and Phenomenological Research,2023-01-11 16:41:22 UTC,Male,White,0,,4,Non-tenure track faculty,Rejection,,2.0,,,
Journal of the American Philosophical Association,2023-01-09 18:51:48 UTC,Male,White,2,2,5,Non-tenure track faculty,Rejection,,2.0,,,
American Philosophical Quarterly,2023-01-08 18:50:11 UTC,Female,Black,0,,1,Tenure track faculty,Rejection,,3.0,,,The irresponsible editor didn't send the paper to referees after three months. 
Review of Metaphysics,2023-01-08 18:47:54 UTC,Male,White,0,,1,Tenure track faculty,Rejection,,4.0,,,Are you fucking kidding me? Desk rejection after four months? Go fuck yourself!
"Politics, Philosophy and Economics",2023-01-06 17:51:25 UTC,Male,White,2,3,4,Adjunct,Rejection,,4.0,,,
Journal of Applied Philosophy,2023-01-03 15:42:48 UTC,Male,Asian,1,4,4,Non-tenure track faculty,Rejection,,1.0,,,""
Philosophical Studies,2023-01-03 15:41:29 UTC,Male,Asian,0,,4,Non-tenure track faculty,Rejection,,0.0,,,Fast desk reject
Thought: A Journal of Philosophy,2023-01-03 15:40:00 UTC,Male,Asian,0,,5,Non-tenure track faculty,Rejection,,0.3,,,Fast desk reject
Synthese,2023-01-03 15:37:29 UTC,Male,Asian,2,4,5,Non-tenure track faculty,Rejection,,2.0,,,""
Philosophers' Imprint,2023-01-03 15:35:00 UTC,Male,Asian,0,,4,Non-tenure track faculty,Rejection,,0.5,,,Fast desk reject
Moral Philosophy and Politics,2023-01-03 15:32:47 UTC,Male,Asian,3,3,5,Non-tenure track faculty,Revise and resubmit,Acceptance,3.0,,,""
The Monist,2023-01-03 15:28:40 UTC,Male,Asian,2,5,5,Graduate student,Revise and resubmit,Acceptance,3.0,,,""
Religious Studies,2023-01-03 15:25:56 UTC,Male,White,2,4,5,Non-tenure track faculty,Revise and resubmit,Acceptance,8.0,,,
Ethics Policy and Environment,2023-01-03 15:22:25 UTC,Male,Asian,1,4,5,Graduate student,Acceptance,,1.0,0.2,2018-03-01 00:00:00 UTC,""
Synthese,2023-01-03 15:16:45 UTC,Male,Asian,0,,4,Graduate student,Rejection,,0.0,,,Fast desk reject (no comments)
Philosophical Studies,2023-01-03 15:15:09 UTC,Male,Asian,2,4,4,Graduate student,Rejection,,3.5,,,""
Economics and Philosophy,2023-01-03 15:10:32 UTC,Male,Asian,0,,4,Graduate student,Rejection,,1.0,,,Desk reject with a couple (brief) helpful comments
Canadian Journal of Philosophy,2023-01-03 15:08:00 UTC,Male,Asian,2,4,4,Graduate student,Revise and resubmit,Acceptance,4.5,,,""
Social Epistemology,2022-12-27 16:41:26 UTC,Male,White,2,4,5,Graduate student,Revise and resubmit,Acceptance,3.03,,,
Logos and Episteme,2022-12-27 16:39:04 UTC,Male,White,0,,5,Graduate student,Acceptance,,0.76,4.0,2021-05-19 00:00:00 UTC,
Journal of the History of Philosophy,2022-12-22 18:05:36 UTC,Male,White,3,1,1,Graduate student,Rejection,,0.5,,,
Philosophia,2022-12-22 11:44:43 UTC,Male,Asian,1,3,3,Graduate student,Revise and resubmit,Acceptance,9.0,,,
Journal of Military Ethics,2022-12-21 03:38:22 UTC,Male,White,0,,4,Non-tenure track faculty,Acceptance,,7.0,9.0,2020-04-30 00:00:00 UTC,
Analysis,2022-12-19 22:25:52 UTC,Male,White,2,4,5,Independent scholar,Rejection,,1.5,,,
Journal of Applied Philosophy,2022-12-16 12:04:08 UTC,Male,White,1,4,4,Graduate student,Rejection,,1.2,,,
Analysis,2022-12-16 09:28:52 UTC,Male,White,1,5,4,Graduate student,Rejection,,1.0,,,
Philosophers' Imprint,2022-12-15 23:00:54 UTC,,,1,2,2,Non-tenure track faculty,Rejection,,7.0,,,
Canadian Journal of Philosophy,2022-12-15 19:38:09 UTC,Male,White,0,,,Tenure track faculty,Rejection,,0.8,,,
Philosophical Review,2022-12-15 11:30:39 UTC,Male,Middle Eastern/North African,0,,3,Graduate student,Rejection,,1.0,,,
Linguistics and Philosophy,2022-12-15 11:24:40 UTC,Male,Middle Eastern/North African,2,5,5,Graduate student,Revise and resubmit,Acceptance,5.0,,,
Philosophical Studies,2022-12-15 11:23:47 UTC,Male,Middle Eastern/North African,2,5,5,Graduate student,Revise and resubmit,Acceptance,3.0,,,
Philosophical Studies,2022-12-14 08:33:31 UTC,Male,White,1,3,3,Non-tenure track faculty,Rejection,,3.0,,,""
Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,2022-12-14 08:32:26 UTC,Male,White,2,3,4,Non-tenure track faculty,Revise and resubmit,Acceptance,5.0,,,""
Journal of Moral Philosophy,2022-12-13 14:53:38 UTC,Male,White,0,,3,Tenured faculty,Rejection,,0.7,,,""
European Journal of Philosophy,2022-12-12 20:19:30 UTC,Male,White,1,4,3,Tenured faculty,Rejection,,4.0,,,""
Australasian Journal of Philosophy,2022-12-12 08:58:56 UTC,,,2,3,5,Graduate student,Rejection,,0.7,,,
Analysis,2022-12-12 06:52:29 UTC,Male,Asian,2,5,5,Graduate student,Revise and resubmit,Rejection,3.0,,,
Journal of Ethics and Social Philosophy,2022-12-08 23:48:28 UTC,Male,Asian,2,4,5,Non-tenure track faculty,Rejection,,1.5,,,
Journal of Philosophy,2022-12-08 03:57:05 UTC,Female,White,0,,1,Non-tenure track faculty,Rejection,,7.0,,,Desk rejection after seven months? Fuck you!
Journal of Philosophy,2022-12-07 17:51:02 UTC,Male,White,0,,3,Non-tenure track faculty,Rejection,,6.0,,,Submission for the Isaac Levi prize. Rejection with no comments or other information. 
Ethics and Global Politics,2022-12-06 12:04:31 UTC,Male,White,4,4,5,Graduate student,Acceptance,,1.0,0.0,2022-05-19 00:00:00 UTC,
Journal of Ethics and Social Philosophy,2022-12-06 12:02:12 UTC,Male,White,1,2,3,Graduate student,Rejection,,1.5,,,
Journal of the American Philosophical Association,2022-12-04 11:16:54 UTC,Male,White,1,2,4,Tenure track faculty,Rejection,,3.5,,,
Analysis,2022-12-03 16:02:58 UTC,Male,White,1,4,4,Graduate student,Rejection,,1.0,,,
Philosophy and Public Affairs,2022-12-01 21:22:54 UTC,Male,Asian,0,,,Graduate student,Rejection,,1.0,,,
