"id","Journal_name","Create_date","Gender","Demographics","Comment_count","Comment_quality","Editor_experience","Professional_status","Verdict","Second_verdict","Response_time"
1709,"British Journal for the History of Philosophy","2019-05-07 23:33:14 UTC","Male","White",1,"3","4","Non-tenure track faculty","Rejection","",1.0
1710,"Legal Theory","2019-05-03 18:26:16 UTC","Female","",1,"1","1","Graduate student","Rejection","",7.5
1711,"Philosophy and Phenomenological Research","2019-05-03 17:05:14 UTC","Male","White",0,"","","Graduate student","Rejection","",2.0
1712,"Synthese","2019-05-01 23:38:12 UTC","Male","White",2,"5","5","Graduate student","Revise and resubmit","Acceptance",4.0
1713,"Ethics","2019-05-01 23:37:26 UTC","Male","White",2,"4","2","Graduate student","Revise and resubmit","Rejection",5.0
1714,"Journal of Ethics & Social Philosophy","2019-05-01 19:55:51 UTC","Female","White",1,"4","4","Tenure track faculty","Rejection","",0.7
1715,"Mind","2019-05-01 15:56:51 UTC","","",2,"2","2","Graduate student","Rejection","",9.0
1716,"Philosophy and Public Affairs","2019-04-30 11:38:49 UTC","Female","White",0,"","3","Other","Rejection","",0.8
1717,"Journal of Ethics & Social Philosophy","2019-04-30 11:37:25 UTC","Female","White",0,"","1","Other","Rejection","",2.0
1718,"Social Theory and Practice","2019-04-30 11:32:17 UTC","Female","White",2,"3","5","Other","Conditional acceptance","Acceptance",2.1
1719,"Philosophy and Public Affairs","2019-04-30 11:28:51 UTC","Female","White",1,"4","4","Other","Rejection","",1.5
1720,"Philosophy and Phenomenological Research","2019-04-29 05:52:32 UTC","","",0,"","3","Tenure track faculty","Rejection","",2.5
1721,"Philosophy and Phenomenological Research","2019-04-28 17:42:21 UTC","Male","White",0,"","4","Tenured faculty","Rejection","",2.5
1722,"Philosophers' Imprint","2019-04-28 17:24:50 UTC","Male","White",0,"","3","Graduate student","Rejection","",0.9
1723,"Philosophia","2019-04-27 12:07:07 UTC","","Asian",4,"4","1","Graduate student","Withdraw","",9.0
1724,"Analysis","2019-04-27 12:04:42 UTC","","Asian",2,"3","2","Graduate student","Rejection","",4.0
1725,"Ergo","2019-04-26 19:18:10 UTC","","",3,"3","4","Graduate student","Rejection","",3.5
1726,"Ergo","2019-04-26 19:17:24 UTC","","",2,"3","3","Graduate student","Revise and resubmit","Rejection",3.5
1727,"Ergo","2019-04-26 04:21:18 UTC","Male","Asian",2,"4","5","Non-tenure track faculty","Revise and resubmit","Acceptance",2.0
1728,"Ergo","2019-04-26 00:26:07 UTC","Male","White",2,"4","3","Tenured faculty","Rejection","",3.0
1729,"Ergo","2019-04-26 00:24:43 UTC","Male","White",0,"","3","Tenured faculty","Rejection","",0.5
1730,"Ergo","2019-04-26 00:23:56 UTC","Male","White",2,"5","5","Tenured faculty","Revise and resubmit","Acceptance",1.0
1731,"Philosophers' Imprint","2019-04-26 00:21:15 UTC","Male","White",1,"1","4","Tenured faculty","Revise and resubmit","Rejection",8.0
1732,"Philosophers' Imprint","2019-04-26 00:19:31 UTC","Male","White",2,"3","3","Tenured faculty","Rejection","",5.0
1733,"Philosophers' Imprint","2019-04-26 00:16:55 UTC","","White",0,"","3","Tenured faculty","Rejection","",1.0
1734,"Philosophers' Imprint","2019-04-26 00:16:22 UTC","Male","White",0,"","3","Tenured faculty","Rejection","",4.0
1735,"Ergo","2019-04-25 23:02:25 UTC","","",3,"5","5","Tenured faculty","Acceptance","",1.0
1736,"Journal of Philosophy","2019-04-25 20:27:15 UTC","Female","White",2,"3","3","Tenure track faculty","Conditional acceptance","Acceptance",7.0
1738,"Archiv für Geschichte der Philosophie","2019-04-25 18:58:18 UTC","Male","White",1,"2","2","Non-tenure track faculty","Acceptance","",6.0
1739,"Ergo","2019-04-25 18:07:51 UTC","Prefer not to answer","",2,"5","5","Tenured faculty","Acceptance","",2.0
1740,"Ethical Theory and Moral Practice","2019-04-25 17:45:17 UTC","Male","White",1,"2","","Tenured faculty","Rejection","",4.25
1741,"European Journal of Philosophy","2019-04-25 15:33:34 UTC","","",1,"3","","Non-tenure track faculty","Rejection","",8.5
1743,"Ethics","2019-04-23 13:00:53 UTC","Male","Hispanic/Latina/Latino",0,"","3","Graduate student","Rejection","",1.5
1745,"Grazer Philosophische Studien","2019-04-23 11:11:30 UTC","Male","White",1,"3","4","Non-tenure track faculty","Rejection","",2.2
1746,"Synthese","2019-04-22 16:04:55 UTC","Male","White",2,"2","5","Non-tenure track faculty","Rejection","",6.0
1747,"Utilitas","2019-04-22 11:05:24 UTC","","",2,"5","5","Graduate student","Revise and resubmit","Acceptance",2.0
1748,"Ethics","2019-04-22 11:04:07 UTC","","",2,"5","5","Graduate student","Rejection","",3.0
1749,"Philosophical Studies","2019-04-22 11:03:29 UTC","","",1,"5","5","Graduate student","Rejection","",2.0
1750,"Analysis","2019-04-22 11:01:54 UTC","","",2,"5","5","Graduate student","Acceptance","",4.0
1751,"Oxford Studies in Ancient Philosophy","2019-04-19 03:36:20 UTC","Female","White",0,"","1","Graduate student","Withdraw","",15.0
1752,"Philosophy and Phenomenological Research","2019-04-19 00:43:47 UTC","Male","Hispanic/Latina/Latino",0,"","1","Non-tenure track faculty","Rejection","",2.0
1753,"Nous","2019-04-19 00:42:48 UTC","Male","Hispanic/Latina/Latino",1,"2","1","Non-tenure track faculty","Rejection","",5.0
1754,"Ancient Philosophy","2019-04-12 06:29:48 UTC","Male","White",1,"5","4","Non-tenure track faculty","Conditional acceptance","Acceptance",5.0
1755,"Ergo","2019-04-08 21:03:37 UTC","Male","White",0,"","5","Tenure track faculty","Rejection","",0.25
1756,"Dialectica","2019-04-08 20:48:49 UTC","Male","White",1,"1","1","Non-tenure track faculty","Revise and resubmit","Rejection",8.0
1757,"Philosophy of Science","2019-04-05 16:41:32 UTC","Male","Asian",2,"4","3","Non-tenure track faculty","Revise and resubmit","Acceptance",1.0
1758,"Philosophy and Phenomenological Research","2019-03-31 14:02:01 UTC","Male","White",0,"","3","Tenure track faculty","Rejection","",2.25
1759,"Nous","2019-03-27 13:47:03 UTC","Male","White",1,"4","4","Tenured faculty","Rejection","",1.0
1760,"Journal of Philosophy","2019-03-25 17:08:22 UTC","","",1,"1","1","Non-tenure track faculty","Rejection","",7.0
1761,"Philosophy and Phenomenological Research","2019-03-25 08:07:00 UTC","Male","White",0,"","","Non-tenure track faculty","Rejection","",2.2
1762,"Inquiry","2019-03-24 23:42:20 UTC","Male","White",1,"4","4","Non-tenure track faculty","Rejection","",2.5
1763,"Dialogue","2019-03-23 20:27:38 UTC","Male","White",4,"4","4","Non-tenure track faculty","Rejection","",4.0
1764,"Synthese","2019-03-23 20:23:58 UTC","Male","White",2,"3","4","Non-tenure track faculty","Rejection","",3.0
1765,"Philosophy and Phenomenological Research","2019-03-22 17:55:22 UTC","Male","White",0,"","2","Non-tenure track faculty","Rejection","",2.0
1766,"Dialectica","2019-03-18 16:39:58 UTC","Male","Asian",1,"3","3","Tenure track faculty","Revise and resubmit","Rejection",9.0
1768,"Nous","2019-03-15 21:18:42 UTC","Male","White",1,"2","4","Tenured faculty","Rejection","",3.0
1770,"Philosophical Quarterly","2019-03-06 22:59:56 UTC","","",3,"3","4","Non-tenure track faculty","Rejection","",4.0
1771,"Philosophy and Phenomenological Research","2019-03-05 14:20:09 UTC","Male","White",1,"3","4","Tenured faculty","Rejection","",3.0
1772,"Thought","2019-03-04 19:18:43 UTC","Female","White",2,"2","4","Graduate student","Revise and resubmit","Rejection",0.5
1773,"Dialectica","2019-03-04 17:22:38 UTC","","White",0,"","1","Non-tenure track faculty","Withdraw","",9.0
1774,"American Philosophical Quarterly","2019-03-04 17:21:18 UTC","","White",1,"3","","Non-tenure track faculty","Rejection","",1.0
1775,"Pacific Philosophical Quarterly","2019-03-04 01:07:03 UTC","Male","White",0,"","1","Other","Withdraw","",4.0
1776,"Oxford Studies in Ancient Philosophy","2019-03-03 02:18:43 UTC","Female","White",1,"3","1","Tenure track faculty","Rejection","",10.0
1777,"Analysis","2019-03-01 15:57:49 UTC","Male","White",2,"1","1","Tenured faculty","Revise and resubmit","Rejection",6.0
1778,"Episteme","2019-03-01 12:43:52 UTC","Male","White",2,"4","4","Non-tenure track faculty","Revise and resubmit","Rejection",2.0
1779,"Journal of Ethics & Social Philosophy","2019-02-27 20:24:34 UTC","","",2,"3","5","Tenured faculty","Rejection","",4.75
1780,"American Philosophical Quarterly","2019-02-27 15:45:08 UTC","","",1,"3","3","Graduate student","Rejection","",2.5
1781,"Philosophical Quarterly","2019-02-26 14:15:17 UTC","Male","White",1,"4","3","Tenured faculty","Rejection","",2.5
1782,"Nous","2019-02-26 14:14:25 UTC","Male","White",1,"3","4","Tenured faculty","Revise and resubmit","Acceptance",3.0
1784,"Nous","2019-02-22 18:25:45 UTC","Male","White",0,"","","Graduate student","Rejection","",2.26
1786,"Philosophical Quarterly","2019-02-15 13:06:46 UTC","Male","White",2,"3","4","Tenured faculty","Rejection","",2.5
1787,"Philosophical Quarterly","2019-02-15 08:43:58 UTC","Male","White",1,"4","4","Tenured faculty","Rejection","",2.5
1788,"European Journal of Philosophy","2019-02-13 18:40:55 UTC","","",0,"","1","Non-tenure track faculty","Rejection","",4.0
1789,"Ancient Philosophy","2019-02-12 09:25:22 UTC","","",1,"5","","Graduate student","Conditional acceptance","Acceptance",8.0
1790,"Dialectica","2019-02-11 11:38:47 UTC","Male","White",0,"","1","Graduate student","Withdraw","",24.0
1791,"Oxford Studies in Ancient Philosophy","2019-02-08 16:30:56 UTC","Female","White",0,"","1","Graduate student","Withdraw","",12.0
1792,"Bioethics","2019-02-06 18:28:00 UTC","Male","White",2,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",4.0
1793,"Philosophical Quarterly","2019-02-06 13:09:59 UTC","","",2,"4","4","Tenure track faculty","Rejection","",3.5
1794,"American Philosophical Quarterly","2019-02-01 22:57:55 UTC","Male","White",0,"","1","Graduate student","Rejection","",1.0
1795,"Episteme","2019-02-01 22:53:01 UTC","Male","White",2,"4","4","Graduate student","Rejection","",3.5
1796,"Episteme","2019-02-01 22:52:25 UTC","Male","White",1,"5","5","Graduate student","Conditional acceptance","Acceptance",3.0
1797,"Journal of Philosophical Logic","2019-02-01 22:50:51 UTC","","White",1,"3","3","Graduate student","Rejection","",6.0
1798,"Philosophical Studies","2019-02-01 22:49:08 UTC","Male","White",1,"3","3","Graduate student","Rejection","",2.5
1799,"Synthese","2019-02-01 22:48:08 UTC","Male","White",2,"4","5","Graduate student","Rejection","",2.0
1800,"Ratio","2019-02-01 22:47:13 UTC","","White",1,"4","5","Graduate student","Revise and resubmit","Acceptance",1.0
1801,"Journal of Moral Philosophy","2019-01-29 12:48:53 UTC","Male","",0,"","1","Tenured faculty","Rejection","",3.0
1802,"Law and Philosophy","2019-01-28 16:35:21 UTC","Male","White",1,"4","2","Graduate student","Revise and resubmit","Rejection",5.0
1803,"Classical Quarterly","2019-01-26 23:23:20 UTC","Male","White",1,"4","3","Graduate student","Conditional acceptance","Acceptance",3.5
1804,"Philosophers' Imprint","2019-01-24 08:36:55 UTC","","",0,"","","Independent scholar","Rejection","",0.5
1805,"Hastings Center Report","2019-01-21 21:00:21 UTC","Female","White",2,"5","4","Tenure track faculty","Revise and resubmit","Acceptance",2.0
1806,"Ethics","2019-01-20 14:10:16 UTC","Male","White",1,"4","5","Tenured faculty","Rejection","",0.5
1808,"Philosophers' Imprint","2019-01-20 14:04:11 UTC","Male","White",0,"","4","Tenured faculty","Rejection","",1.0
1809,"Journal of Moral Philosophy","2019-01-20 14:01:25 UTC","Male","White",0,"","3","Tenured faculty","Rejection","",1.75
1810,"Canadian Journal of Philosophy","2019-01-20 13:59:30 UTC","Male","White",2,"4","4","Tenured faculty","Rejection","",3.5
1811,"Ratio","2019-01-19 22:36:52 UTC","Male","White",0,"","1","Non-tenure track faculty","Rejection","",0.1
1812,"Mind","2019-01-17 21:19:09 UTC","Male","",0,"","1","Non-tenure track faculty","Withdraw","",7.0
1813,"Ancient Philosophy","2019-01-17 07:41:29 UTC","Male","White",2,"5","4","Graduate student","Acceptance","",8.0
1814,"Thought","2019-01-17 03:41:52 UTC","","Asian",0,"","1","Independent scholar","Rejection","",2.0
1815,"Oxford Studies in Ancient Philosophy","2019-01-16 12:43:42 UTC","Male","",1,"4","1","Non-tenure track faculty","Rejection","",8.0
1816,"Phronesis","2019-01-16 12:39:56 UTC","Male","",1,"4","4","Non-tenure track faculty","Rejection","",1.0
1817,"Archiv für Geschichte der Philosophie","2019-01-16 12:37:47 UTC","Male","",2,"2","2","Non-tenure track faculty","Rejection","",8.0
1818,"Archiv für Geschichte der Philosophie","2019-01-16 07:58:47 UTC","Male","White",2,"5","2","Non-tenure track faculty","Rejection","",5.5
1819,"Phronesis","2019-01-16 07:57:58 UTC","Male","White",1,"2","4","Non-tenure track faculty","Rejection","",1.0
1820,"Journal of the History of Philosophy","2019-01-16 07:56:52 UTC","Male","White",2,"4","5","Non-tenure track faculty","Revise and resubmit","Acceptance",1.8
1821,"Philosophical Forum","2019-01-15 00:50:21 UTC","Male","Asian",1,"2","4","Tenure track faculty","Rejection","",3.8
1822,"Philosophical Studies","2019-01-14 13:52:32 UTC","Male","White",1,"2","4","Graduate student","Rejection","",4.5
1823,"Journal of Ethics & Social Philosophy","2019-01-14 06:43:13 UTC","Male","Asian",1,"3","4","Graduate student","Rejection","",0.7
1825,"Politics, Philosophy & Economics","2019-01-11 02:18:58 UTC","Male","White",2,"3","4","Tenure track faculty","Rejection","",5.5
1826,"Philosophy and Phenomenological Research","2019-01-10 22:28:35 UTC","","",0,"","","Independent scholar","Rejection","",2.2
1827,"Ancient Philosophy","2019-01-09 23:38:41 UTC","Male","White",1,"4","4","Tenured faculty","Rejection","",4.0
1829,"British Journal for the History of Philosophy","2019-01-06 08:52:50 UTC","Male","Asian",3,"4","4","Graduate student","Rejection","",3.0
1830,"Philosophical Quarterly","2018-12-23 17:44:58 UTC","","",2,"3","","Independent scholar","Revise and resubmit","Rejection",6.0
1831,"Philosophical Quarterly","2018-12-23 17:43:36 UTC","","",2,"4","","Independent scholar","Revise and resubmit","Rejection",8.0
1832,"Analytic Philosophy","2018-12-23 17:41:53 UTC","","",0,"","","Independent scholar","Rejection","",4.0
1833,"Journal of Ethics & Social Philosophy","2018-12-23 17:39:53 UTC","","",2,"2","","Independent scholar","Rejection","",4.0
1834,"Journal of Ethics & Social Philosophy","2018-12-23 17:39:15 UTC","","",0,"","","Independent scholar","Rejection","",4.0
1835,"Thought","2018-12-23 17:19:31 UTC","","",2,"2","","Independent scholar","Rejection","",2.0
1836,"Faith and Philosophy","2018-12-23 17:05:33 UTC","","",2,"5","","Independent scholar","Rejection","",6.0
1837,"Ethics","2018-12-23 17:03:41 UTC","","",2,"2","","Independent scholar","Rejection","",7.0
1839,"Phronesis","2018-12-21 23:04:22 UTC","Male","White",1,"1","4","Graduate student","Rejection","",1.0
1842,"Analysis","2018-12-19 06:03:14 UTC","Male","Asian",1,"3","4","Graduate student","Rejection","",0.33
1844,"European Journal of Philosophy","2018-12-15 00:53:28 UTC","Male","White",1,"3","4","Tenure track faculty","Rejection","",5.0
1846,"Phronesis","2018-12-09 14:04:15 UTC","","",0,"","5","Tenure track faculty","Acceptance","",1.0
1847,"Oxford Studies in Ancient Philosophy","2018-12-09 01:40:44 UTC","Prefer not to answer","Other race/ethnicity",0,"","1","Other","Withdraw","",15.0
1848,"Thought","2018-12-07 22:05:20 UTC","Male","White",1,"4","4","Independent scholar","Rejection","",0.3
1849,"Oxford Studies in Ancient Philosophy","2018-12-06 21:54:39 UTC","Male","White",2,"4","2","Tenure track faculty","Rejection","",8.0
1850,"Episteme","2018-12-06 04:52:16 UTC","Male","White",1,"4","5","Graduate student","Revise and resubmit","Acceptance",3.5
1851,"Australasian Journal of Philosophy","2018-12-05 22:04:40 UTC","Male","",1,"4","4","Tenure track faculty","Rejection","",2.0
1852,"Philosophical Review","2018-12-05 16:47:09 UTC","","",0,"","3","Non-tenure track faculty","Rejection","",0.25
1853,"Mind","2018-12-05 16:39:28 UTC","Male","White",2,"4","5","Graduate student","Rejection","",4.0
1854,"Philosophical Studies","2018-12-05 15:45:30 UTC","Male","White",1,"2","","Graduate student","Rejection","",2.9
1856,"Philosophers' Imprint","2018-12-05 11:49:23 UTC","Male","White",0,"","1","Non-tenure track faculty","Rejection","",4.0
1857,"European Journal of Philosophy","2018-12-05 10:00:51 UTC","Female","White",0,"","1","Non-tenure track faculty","Rejection","",3.0
1859,"Journal of Philosophical Logic","2018-12-04 23:30:54 UTC","Prefer not to answer","White",1,"4","4","Other","Rejection","",4.0
1860,"Analysis","2018-12-04 21:55:35 UTC","Male","White",2,"2","2","Tenured faculty","Rejection","",3.25
1861,"Journal of Political Philosophy","2018-12-04 19:41:11 UTC","","Other race/ethnicity",0,"","5","Tenure track faculty","Rejection","",0.03
1862,"Philosophical Review","2018-12-04 19:19:48 UTC","Male","White",0,"","4","Tenured faculty","Rejection","",0.5
1863,"Pacific Philosophical Quarterly","2018-12-04 19:08:24 UTC","Female","White",0,"","1","Other","Rejection","",4.0
1865,"Philosophers' Imprint","2018-12-04 18:51:55 UTC","Male","White",1,"1","4","Tenured faculty","Rejection","",3.0
1866,"Philosophy and Public Affairs","2018-12-04 18:42:40 UTC","Male","White",0,"","3","Non-tenure track faculty","Rejection","",1.1
1867,"The Journal of Ethics","2018-12-04 17:47:15 UTC","Male","White",0,"","1","Tenured faculty","Rejection","",3.5
1868,"Synthese","2018-12-04 16:44:03 UTC","","",2,"5","4","Graduate student","Acceptance","",2.0
1869,"Analysis","2018-12-04 16:22:20 UTC","Female","Asian",1,"3","","Tenure track faculty","Rejection","",4.0
1870,"Ethics","2018-12-04 16:21:32 UTC","Female","Asian",1,"3","","Tenure track faculty","Rejection","",3.0
1871,"Philosophy and Phenomenological Research","2018-12-04 16:20:41 UTC","Female","Asian",0,"","","Tenure track faculty","Rejection","",2.0
1872,"Journal of the American Philosophical Association","2018-12-04 16:20:11 UTC","Female","Asian",2,"5","","Tenure track faculty","Rejection","",3.5
1873,"Philosophical Studies","2018-12-04 16:19:31 UTC","Female","Asian",0,"","4","Tenure track faculty","Rejection","",1.0
1874,"Ergo","2018-12-04 16:18:56 UTC","Female","Asian",2,"5","5","Tenure track faculty","Rejection","",1.5
1875,"Philosophical Review","2018-12-04 16:18:17 UTC","Female","Asian",0,"","3","Tenure track faculty","Rejection","",1.0
1876,"Journal of Applied Philosophy","2018-12-04 16:17:38 UTC","Female","Asian",0,"","3","Tenure track faculty","Rejection","",1.0
1877,"Philosophical Studies","2018-12-04 16:16:56 UTC","Female","Asian",1,"5","5","Tenure track faculty","Conditional acceptance","Acceptance",4.0
1878,"Mind","2018-12-04 16:16:05 UTC","Female","Asian",0,"","3","Tenure track faculty","Rejection","",1.0
1879,"Philosophers' Imprint","2018-12-04 16:15:38 UTC","Female","Asian",0,"","3","Tenure track faculty","Rejection","",1.0
1880,"Ethics","2018-12-04 16:15:01 UTC","Female","Asian",2,"5","4","Tenure track faculty","Rejection","",4.0
1881,"Nous","2018-12-04 16:13:54 UTC","Female","Asian",0,"","3","Tenure track faculty","Rejection","",3.0
1882,"Philosophical Studies","2018-12-04 15:29:42 UTC","Male","White",2,"1","2","Non-tenure track faculty","Rejection","",6.0
1883,"Inquiry","2018-12-04 15:27:59 UTC","Male","White",1,"5","5","Non-tenure track faculty","Acceptance","",2.0
1884,"Mind","2018-12-04 06:56:25 UTC","Male","Asian",0,"","2","Tenured faculty","Rejection","",0.5
1885,"Australasian Journal of Philosophy","2018-12-04 06:55:35 UTC","Male","Asian",1,"1","3","Tenured faculty","Rejection","",2.0
1886,"Mind and Language","2018-12-02 11:11:59 UTC","Female","White",2,"3","2","Graduate student","Revise and resubmit","Rejection",3.0
1887,"Inquiry","2018-12-02 02:21:36 UTC","Male","",1,"1","5","Graduate student","Rejection","",1.0
1889,"Journal of Moral Philosophy","2018-11-30 15:56:55 UTC","Male","White",0,"","3","Tenured faculty","Rejection","",2.5
1890,"Journal of Philosophy","2018-11-30 09:41:47 UTC","","",1,"4","4","Non-tenure track faculty","Rejection","",6.5
1891,"Philosophical Studies","2018-11-30 04:44:35 UTC","Female","White",0,"","4","Graduate student","Rejection","",4.0
1893,"Southern Journal of Philosophy","2018-11-29 21:52:34 UTC","Male","White",2,"4","5","Graduate student","Rejection","",2.0
1894,"Analysis","2018-11-29 21:47:43 UTC","Male","White",1,"1","2","Graduate student","Rejection","",3.5
1896,"Analysis","2018-11-29 16:51:44 UTC","Male","White",2,"5","5","Tenured faculty","Acceptance","",3.0
1897,"Philosophical Studies","2018-11-29 11:51:04 UTC","Female","White",1,"1","1","Graduate student","Rejection","",0.1
1899,"Philosophy of Science","2018-11-28 21:48:00 UTC","Male","White",3,"4","4","Tenure track faculty","Revise and resubmit","Rejection",4.5
1900,"Bioethics","2018-11-28 21:40:49 UTC","Male","White",2,"5","2","Tenure track faculty","Conditional acceptance","Acceptance",7.0
1902,"Australasian Journal of Philosophy","2018-11-28 21:11:09 UTC","Male","White",1,"4","","Tenure track faculty","Rejection","",5.0
1903,"Journal of Ethics & Social Philosophy","2018-11-28 21:09:02 UTC","Male","White",2,"4","5","Tenure track faculty","Acceptance","",2.0
1904,"Ethical Theory and Moral Practice","2018-11-28 20:42:08 UTC","Female","White",2,"5","5","Tenure track faculty","Revise and resubmit","Acceptance",2.0
1905,"Thought","2018-11-26 18:57:50 UTC","Male","White",1,"3","4","Other","Rejection","",0.5
1906,"Ergo","2018-11-26 18:56:41 UTC","Male","White",0,"","3","Other","Rejection","",0.5
1907,"Erkenntnis","2018-11-24 03:13:11 UTC","Male","White",2,"4","4","Non-tenure track faculty","Rejection","",4.5
1908,"Mind","2018-11-21 15:21:15 UTC","Male","White",2,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",2.5
1909,"Ethical Theory and Moral Practice","2018-10-23 04:00:00 UTC","","",3,"5","5","Tenured faculty","Rejection","",2.75
1910,"Australasian Journal of Philosophy","2018-10-22 04:00:00 UTC","Male","White",3,"4","4","Graduate student","Rejection","",3.1
1911,"Classical Quarterly","2018-10-19 04:00:00 UTC","","",1,"4","5","Non-tenure track faculty","Revise and resubmit","Acceptance",8.0
1914,"Analytic Philosophy","2018-10-17 04:00:00 UTC","Male","",1,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",3.0
1915,"Philosophia","2018-10-17 04:00:00 UTC","","",1,"4","5","Non-tenure track faculty","Acceptance","",10.0
1916,"Philosophical Studies","2018-10-17 04:00:00 UTC","","",0,"","3","Graduate student","Rejection","",0.5
1917,"Law and Philosophy","2018-10-16 04:00:00 UTC","Male","White",1,"4","3","Non-tenure track faculty","Rejection","",3.5
1922,"Philosophical Quarterly","2018-10-15 04:00:00 UTC","Male","White",1,"2","5","Non-tenure track faculty","Rejection","",2.5
1923,"Thought","2018-10-15 04:00:00 UTC","Male","White",1,"3","3","Other","Rejection","",0.75
1924,"European Journal of Philosophy","2018-10-14 04:00:00 UTC","Female","White",2,"5","5","Tenured faculty","Revise and resubmit","Acceptance",8.0
1926,"Analysis","2018-10-10 04:00:00 UTC","Male","Hispanic/Latina/Latino",2,"1","2","Graduate student","Rejection","",2.0
1927,"Philosophers' Imprint","2018-10-07 04:00:00 UTC","","",0,"","","Graduate student","Rejection","",3.0
1928,"Analysis","2018-10-07 04:00:00 UTC","Male","",0,"","5","Graduate student","Rejection","",0.06
1929,"Hypatia","2018-10-05 04:00:00 UTC","","",2,"3","","Graduate student","Rejection","",2.0
1930,"Ethics","2018-10-05 04:00:00 UTC","","",2,"5","","Graduate student","Rejection","",4.0
1931,"Philosophy","2018-10-05 04:00:00 UTC","Male","Indigenous North, Central or South American, White",0,"","2","Graduate student","Rejection","",2.0
1932,"Synthese","2018-10-04 04:00:00 UTC","Male","White",3,"3","3","Other","Revise and resubmit","Acceptance",6.5
1933,"Journal of Political Philosophy","2018-09-29 04:00:00 UTC","Male","Indian",1,"2","5","Graduate student","Rejection","",0.25
1934,"Ethical Theory and Moral Practice","2018-09-28 04:00:00 UTC","","",2,"1","1","Tenured faculty","Revise and resubmit","",9.0
1935,"British Journal for the History of Philosophy","2018-09-21 04:00:00 UTC","","",2,"3","2","Tenure track faculty","Revise and resubmit","Acceptance",2.0
1936,"Oxford Studies in Ancient Philosophy","2018-09-18 04:00:00 UTC","","",1,"3","1","Other","Rejection","",6.0
1937,"Nous","2018-09-17 04:00:00 UTC","","",0,"","","Graduate student","Rejection","",2.25
1939,"Synthese","2018-09-16 04:00:00 UTC","","",0,"","","Graduate student","Rejection","",0.1
1940,"Mind","2018-09-14 04:00:00 UTC","Male","",2,"2","5","Graduate student","Rejection","",3.5
1941,"Political Theory","2018-09-13 04:00:00 UTC","","Asian",0,"","1","Graduate student","Rejection","",1.0
1942,"Philosophy of Science","2018-09-12 04:00:00 UTC","Male","",2,"3","","Non-tenure track faculty","Rejection","",15.0
1943,"Erkenntnis","2018-09-12 04:00:00 UTC","","",2,"2","3","Other","Rejection","",5.75
1944,"Philosophical Psychology","2018-09-10 04:00:00 UTC","","",2,"1","2","Tenure track faculty","Revise and resubmit","Rejection",2.0
1945,"Dialectica","2018-09-06 04:00:00 UTC","","",0,"","1","Non-tenure track faculty","Withdraw","",5.0
1946,"Philosophical Studies","2018-09-05 04:00:00 UTC","","",0,"","3","Graduate student","Rejection","",1.0
1947,"Analysis","2018-09-05 04:00:00 UTC","","",2,"3","2","Tenured faculty","Rejection","",5.7
1948,"Mind and Language","2018-09-04 04:00:00 UTC","Male","White",2,"5","4","Graduate student","Revise and resubmit","",3.0
1949,"British Journal for the History of Philosophy","2018-09-03 04:00:00 UTC","Female","White",3,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",2.0
1950,"European Journal of Philosophy","2018-09-03 04:00:00 UTC","Female","",1,"2","4","Non-tenure track faculty","Rejection","",4.0
1951,"European Journal of Philosophy","2018-09-03 04:00:00 UTC","Female","",0,"","4","Non-tenure track faculty","Rejection","",1.0
1952,"Philosophical Quarterly","2018-09-03 04:00:00 UTC","","",0,"","","Tenured faculty","Rejection","",0.5
1953,"Mind","2018-08-29 04:00:00 UTC","Male","White",1,"5","5","Graduate student","Rejection","",2.0
1954,"Philosophy of Science","2018-08-29 04:00:00 UTC","Male","White",1,"5","","Graduate student","Rejection","",2.0
1955,"Mind","2018-08-29 04:00:00 UTC","Male","White",2,"5","5","Graduate student","Revise and resubmit","Acceptance",3.0
1956,"Journal of Moral Philosophy","2018-08-27 04:00:00 UTC","","",1,"4","4","Graduate student","Revise and resubmit","Acceptance",3.25
1957,"Philosophical Studies","2018-08-25 04:00:00 UTC","","",0,"","","Other","Rejection","",1.5
1958,"Philosophical Studies","2018-08-25 04:00:00 UTC","","",0,"","1","Graduate student","Rejection","",1.4
1959,"British Journal for the History of Philosophy","2018-08-25 04:00:00 UTC","","",2,"","5","Non-tenure track faculty","Rejection","",2.0
1960,"Archiv für Geschichte der Philosophie","2018-08-25 04:00:00 UTC","","",2,"","3","Non-tenure track faculty","Rejection","",7.0
1961,"Journal of Political Philosophy","2018-08-25 04:00:00 UTC","Male","Indigenous North, Central or South American, White",2,"4","5","Graduate student","Rejection","",2.8
1962,"British Journal for the Philosophy of Science","2018-08-22 04:00:00 UTC","","",2,"4","4","Graduate student","Rejection","",4.0
1963,"Philosophical Studies","2018-08-20 04:00:00 UTC","","",1,"2","1","Tenure track faculty","Rejection","",21.0
1964,"Journal of Ethics & Social Philosophy","2018-08-17 04:00:00 UTC","Male","Asian",0,"","","Tenure track faculty","Rejection","",0.5
1965,"Journal of Philosophical Logic","2018-08-15 04:00:00 UTC","Male","White",0,"","2","Non-tenure track faculty","Rejection","",2.0
